route_id,service_id,trip_id,trip_headsign,wheelchair_accessible,block_id,shape_id
10T0001C1,1007M,1007M19799C1,       ,1,1007M19799,10_C1                                                                                               
10T0001C1,1007M,1007M19800C1,       ,1,1007M19800,10_C1                                                                                               
10T0001C1,1007M,1007M19802C1,       ,1,1007M19802,10_C1                                                                                               
10T0001C1,1007M,1007M19804C1,       ,1,1007M19804,10_C1                                                                                               
10T0001C1,1007M,1007M19806C1,       ,1,1007M19806,10_C1                                                                                               
10T0001C1,1007M,1007M19808C1,       ,1,1007M19808,10_C1                                                                                               
10T0001C1,1007M,1007M19810C1,       ,1,1007M19810,10_C1                                                                                               
10T0001C1,1007M,1007M19812C1,       ,1,1007M19812,10_C1                                                                                               
10T0001C1,1007M,1007M19814C1,       ,1,1007M19814,10_C1                                                                                               
10T0001C1,1007M,1007M19816C1,       ,1,1007M19816,10_C1                                                                                               
10T0001C1,1007M,1007M19818C1,       ,1,1007M19818,10_C1                                                                                               
10T0001C1,1007M,1007M19820C1,       ,1,1007M19820,10_C1                                                                                               
10T0001C1,1007M,1007M19822C1,       ,1,1007M19822,10_C1                                                                                               
10T0001C1,1007M,1007M19824C1,       ,1,1007M19824,10_C1                                                                                               
10T0001C1,1007M,1007M19826C1,       ,1,1007M19826,10_C1                                                                                               
10T0001C1,1007M,1007M19828C1,       ,1,1007M19828,10_C1                                                                                               
10T0001C1,1007M,1007M19830C1,       ,1,1007M19830,10_C1                                                                                               
10T0001C1,1007M,1007M19832C1,       ,1,1007M19832,10_C1                                                                                               
10T0001C1,1007M,1007M19834C1,       ,1,1007M19834,10_C1                                                                                               
10T0001C1,1007M,1007M19836C1,       ,1,1007M19836,10_C1                                                                                               
10T0001C1,1007M,1007M19838C1,       ,1,1007M19838,10_C1                                                                                               
10T0001C1,1007M,1007M19840C1,       ,1,1007M19840,10_C1                                                                                               
10T0001C1,1007M,1007M19842C1,       ,1,1007M19842,10_C1                                                                                               
10T0001C1,1007M,1007M19844C1,       ,1,1007M19844,10_C1                                                                                               
10T0001C1,1007M,1007M19846C1,       ,1,1007M19846,10_C1                                                                                               
10T0001C1,1007M,1007M19848C1,       ,1,1007M19848,10_C1                                                                                               
10T0001C1,1007M,1007M19850C1,       ,1,1007M19850,10_C1                                                                                               
10T0001C1,1007M,1007M19852C1,       ,1,1007M19852,10_C1                                                                                               
10T0001C1,1007M,1007M19854C1,       ,1,1007M19854,10_C1                                                                                               
10T0001C1,1007M,1007M19856C1,       ,1,1007M19856,10_C1                                                                                               
10T0001C1,1007M,1007M19858C1,       ,1,1007M19858,10_C1                                                                                               
10T0001C1,1007M,1007M19860C1,       ,1,1007M19860,10_C1                                                                                               
10T0001C1,1007M,1007M19862C1,       ,1,1007M19862,10_C1                                                                                               
10T0001C1,1007M,1007M19864C1,       ,1,1007M19864,10_C1                                                                                               
10T0001C1,1007M,1007M19866C1,       ,1,1007M19866,10_C1                                                                                               
10T0001C1,1007M,1007M19868C1,       ,1,1007M19868,10_C1                                                                                               
10T0001C1,1007M,1007M19870C1,       ,1,1007M19870,10_C1                                                                                               
10T0001C1,1007M,1007M19872C1,       ,1,1007M19872,10_C1                                                                                               
10T0001C1,1007M,1007M19874C1,       ,1,1007M19874,10_C1                                                                                               
10T0001C1,1007M,1007M19876C1,       ,1,1007M19876,10_C1                                                                                               
10T0001C1,1007M,1007M19878C1,       ,1,1007M19878,10_C1                                                                                               
10T0001C1,1007M,1007M19880C1,       ,1,1007M19880,10_C1                                                                                               
10T0001C1,1007M,1007M19882C1,       ,1,1007M19882,10_C1                                                                                               
10T0001C1,1007M,1007M19884C1,       ,1,1007M19884,10_C1                                                                                               
10T0001C1,1007M,1007M19886C1,       ,1,1007M19886,10_C1                                                                                               
10T0001C1,1007M,1007M19888C1,       ,1,1007M19888,10_C1                                                                                               
10T0001C1,1007M,1007M19890C1,       ,1,1007M19890,10_C1                                                                                               
10T0001C1,1007M,1007M19892C1,       ,1,1007M19892,10_C1                                                                                               
10T0001C1,1007M,1007M19894C1,       ,1,1007M19894,10_C1                                                                                               
10T0001C1,1007M,1007M19896C1,       ,1,1007M19896,10_C1                                                                                               
10T0001C1,1007M,1007M19898C1,       ,1,1007M19898,10_C1                                                                                               
10T0001C1,1007M,1007M19900C1,       ,1,1007M19900,10_C1                                                                                               
10T0001C1,1007M,1007M19902C1,       ,1,1007M19902,10_C1                                                                                               
10T0001C1,1007M,1007M19904C1,       ,1,1007M19904,10_C1                                                                                               
10T0001C1,1007M,1007M19906C1,       ,1,1007M19906,10_C1                                                                                               
10T0001C1,1007M,1007M19908C1,       ,1,1007M19908,10_C1                                                                                               
10T0001C1,1007M,1007M19910C1,       ,1,1007M19910,10_C1                                                                                               
10T0001C1,1007M,1007M19912C1,       ,1,1007M19912,10_C1                                                                                               
10T0001C1,1007M,1007M19914C1,       ,1,1007M19914,10_C1                                                                                               
10T0001C1,1007M,1007M19916C1,       ,1,1007M19916,10_C1                                                                                               
10T0001C1,1007M,1007M19918C1,       ,1,1007M19918,10_C1                                                                                               
10T0001C1,1007M,1007M19920C1,       ,1,1007M19920,10_C1                                                                                               
10T0001C1,1007M,1007M19922C1,       ,1,1007M19922,10_C1                                                                                               
10T0001C1,1007M,1007M19924C1,       ,1,1007M19924,10_C1                                                                                               
