stop_id,stop_name,stop_lat,stop_lon,wheelchair_boarding
64103,Carcaixent,39.1205251,-0.4544102,2
64104,Alzira,39.1531495,-0.4506011,2
64105,AlgemesÃ­,39.1931484,-0.4409196,2
64107,BenifaiÃ³,39.2843027,-0.4299537,2
64200,Silla,39.3619548,-0.4149813,2
64201,Catarroja,39.4000447,-0.3992195,2
64202,Massanassa,39.4091934,-0.3953073,2
64203,Alfafar-BenetÃºsser,39.4224232,-0.392605,2
64210,Albal,39.3918429,-0.4026343,2
65000,ValÃ¨ncia-EstaciÃ³ Del Nord,39.4669305,-0.3772239,1
65001,Roca-CÃºper,39.5262094,-0.3238405,2
65002,ValÃ¨ncia-La Font De Sant LluÃ­s,39.4416052,-0.371422,2
65003,ValÃ¨ncia-Cabanyal,39.4702456,-0.3346772,2
65005,Albuixech,39.5435233,-0.3205526,2
65006,Massalfassar,39.5557532,-0.3183058,2
65007,El Puig,39.588302,-0.3116645,2
65008,PuÃ§ol,39.6205367,-0.3031085,2
65200,Sagunt,39.6758025,-0.271542,1
65201,Les Valls,39.7193457,-0.2397602,2
65202,Almenara,39.7487737,-0.2183811,2
65203,La Llosa,39.7678109,-0.2029444,2
65204,Chilches/Xilxes,39.7826726,-0.1903295,2
65205,Moncofa,39.8208891,-0.1626965,2
65206,Nules La Villavella,39.8532354,-0.1527317,2
65207,Burriana-AlquerÃ­as NiÃ±o Perdido,39.8965088,-0.1038601,2
65208,Vila-Real,39.9330935,-0.0967681,2
65209,Almassora,39.9549079,-0.0767713,2
65300,CastellÃ³ De La Plana,39.9884736,-0.0523456,1
65304,Orpesa,40.092258,0.139861,2
65306,Torreblanca,40.212211,0.198779,2
65308,AlcalÃ¡ De Chivert,40.30469,0.228717,2
65311,BenicarlÃ³-PeÃ±Ã­scola,40.427639,0.415217,1
65312,VinarÃ²s,40.471682,0.455727,1
65314,Ulldecona-Alcanar-La SÃ©nia,40.5959267,0.44927448,2
65318,BenicÃ ssim,40.0579451,0.0577646,2
65400,Tortosa,40.807333,0.5230136,1
65401,Camp-RedÃ³,40.7591556,0.55584433,2
65402,L'aldea-Amposta-Tortosa,40.753564,0.61430923,1
65403,Camarles-Deltebre,40.7747633,0.67176095,2
65404,L'ampolla-El PerellÃ³-Deltebre,40.8119898,0.70826336,2
65405,L'ametlla De Mar,40.8862,0.80045321,2
65411,Salou-Port Aventura,41.0884798,1.14605195,2
65420,L'hospitalet De L'infant,40.99939,0.91253887,2
65422,Cambrils,41.0815642,1.04603752,2
66200,Utiel,39.5707742,-1.2024215,2
66201,San Antonio De Requena,39.5222997,-1.150367,2
66202,Requena,39.4912708,-1.1046578,2
66203,El Rebollar,39.4773604,-1.0116025,2
66204,Siete Aguas,39.4572264,-0.9025067,2
66206,BuÃ±ol,39.427139,-0.7873638,2
66207,Chiva,39.4711268,-0.7229414,2
66208,Cheste,39.490903,-0.6862639,2
66209,Loriguilla-Reva,39.4857771,-0.5673983,2
66210,Circuit Ricardo Tormo,39.4954379,-0.6247545,2
66211,Aldaia,39.4611179,-0.4632476,2
66212,ValÃ¨ncia-Sant Isidre,39.4502194,-0.4039788,2
66214,Xirivella-Alqueries,39.4626294,-0.432216,2
67007,AraÃ±ales De Muel,41.468946,-1.086394,2
67010,CariÃ±ena,41.335586,-1.228422,2
67011,Encinacorba,41.28865,-1.278534,2
67013,Villarreal De Huerva,41.196498,-1.287096,2
67014,Villadoz,41.165482,-1.279339,2
67015,Badules,41.13951,-1.251572,2
67016,Villahermosa,41.108492,-1.239803,2
67017,Ferreruela,41.06387,-1.239384,2
67021,Calamocha,40.903864,-1.299841,2
67100,Caminreal-Fuentes Claras,40.85111,-1.33765,2
67101,Torrijo Del Campo,40.826012,-1.340498,2
67105,Santa Eulalia Del Campo,40.572917,-1.312995,2
67107,Cella,40.455266,-1.244329,2
